"","gvkey","conm","tic","cusip","cik","sic","naics","gsubind","gind","year1","year2"
"1","001004","AAR CORP","AIR","000361105","0000001750","5080","423860","20101010","201010",1965,2020
"2","001013","ADC TELECOMMUNICATIONS INC","ADCT.1","000886309","0000061478","3661","334210","45201020","452010",1974,2010
"3","001045","AMERICAN AIRLINES GROUP INC","AAL","02376R102","0000006201","4512","481111","20302010","203020",1950,2021
"4","001050","CECO ENVIRONMENTAL CORP","CECE","125141101","0000003197","3564","333413","20201050","202010",1974,2021
"5","001062","ASA GOLD AND PRECIOUS METALS","ASA","G3156P103","0001230869","6799","523999","40203010","402030",1966,2021
"6","001072","AVX CORP","AVX","002444107","0000859163","3670","334416","45203015","452030",1973,2018
"7","001075","PINNACLE WEST CAPITAL CORP","PNW","723484101","0000764622","4911","2211","55101010","551010",1951,2021
"8","001076","PROG HOLDINGS INC","PRG","74319R101","0001808834","6141","522220","40202010","402020",1981,2021
"9","001078","ABBOTT LABORATORIES","ABT","002824100","0000001800","3845","334510","35101010","351010",1950,2021
"10","001082","SERVIDYNE INC","SERV.1","81765M106","0000001923","8700","541310","20201050","202010",1977,2010
"11","001084","WORLDS INC","WDDD","98159J200","0000001961","7370","519130","50203010","502030",1974,2021
"12","001094","ACETO CORP","ACETQ","004446100","0000002034","5160","424690","35102010","351020",1963,2018
"13","001096","MORGUARD CORP","MRCBF","617577101",NA,"6510","5311","60102020","601020",1962,2021
"14","001097","ACMAT CORP  -CL A","ACMTA","004616207","0000002062","6351","524126","40301040","403010",1971,2021
"15","001104","ACME UNITED CORP","ACU","004816104","0000002098","3420","332215","20201060","202010",1968,2021
"16","001117","BK TECHNOLOGIES CORP","BKTI","05587G104","0000002186","3663","334220","45201020","452010",1973,2021
"17","001119","ADAMS DIVERSIFIED EQUITY FD","ADX","006212104","0000002230","6726","525990",NA,NA,1982,2021
"18","001121","ADAMS RESOURCES & ENERGY INC","AE","006351308","0000002178","5172","424720","10102030","101020",1974,2021
"19","001161","ADVANCED MICRO DEVICES","AMD","007903107","0000002488","3674","334413","45301020","453010",1972,2021
"20","001166","ASM INTERNATIONAL NV","ASMIY","N07045102","0000351483","3559","333242","45301010","453010",1981,2021
"21","001173","AEROSONIC CORP","AIM.1","008015307","0000109471","3812","334511","20101010","201010",1973,2012
"22","001177","AETNA INC","AET","00817Y108","0001122304","6324","524114","35102030","351020",1959,2017
"23","001186","AGNICO EAGLE MINES LTD","AEM","008474108","0000002809","1040","212221","15104030","151040",1973,2021
"24","001209","AIR PRODUCTS & CHEMICALS INC","APD","009158106","0000002969","2810","325120","15101040","151010",1950,2021
"25","001210","AIR T INC","AIRT","009207101","0000353184","4513","492110","20301010","203010",1982,2020
"26","001224","SPIRE ALABAMA INC","EGN1","010284008","0000003146","4924","221210","55102010","551020",1982,2021
"27","001225","ALABAMA POWER CO","SO1","010392009","0000003153","4911","2211","55101010","551010",1964,2021
"28","001228","ALANCO TECHNOLOGIES INC","ALAN","011612702","0000098618","4950","221320","55104010","551040",1980,2016
"29","001230","ALASKA AIR GROUP INC","ALK","011659109","0000766421","4512","481111","20302010","203020",1960,2021
"30","001234","ATRION CORP","ATRI","049904105","0000701288","3841","339112","35101020","351010",1962,2021
"31","001239","ALBERTO-CULVER CO","ACV.1","013078100","0001368457","2844","325620","30302010","303020",1956,2010
"32","001254","MATSON INC","MATX","57686G105","0000003453","4400","483113","20303010","203030",1962,2021
"33","001257","ALEXANDER'S INC","ALX","014752109","0000003499","6798","531120","60101070","601010",1968,2021
"34","001259","TAMIR BIOTHECHNOLOGY INC","ACEL.","87509Q105","0000708717","2836","325414","35201010","352010",1984,2012
"35","001262","ALGOMA CENTRAL CORP","AGMJF","015644107",NA,"4400","483113","20303010","203030",1960,2021
"36","001263","ALGOMA STEEL GROUP INC","ASTL","015658107","0001860805","3312","331110","15104050","151040",1960,2013
"37","001266","ALICO INC","ALCO","016230104","0000003545","0100","111310","30202010","302020",1962,2021
"38","001272","PETRO USA INC","PBAJ","71648P103","0000745543","5500","447110","25504050","255040",1978,2021
"39","001274","ALLEGHANY CORP","Y","017175100","0000775368","6331","524126","40301050","403010",1974,2021
"40","001279","ALLEGHENY ENERGY INC","AYE","017361106","0000003673","4911","2211","55101010","551010",1951,2010
"41","001300","HONEYWELL INTERNATIONAL INC","HON","438516106","0000773840","9997","336413","20105010","201050",1950,2021
"42","001308","ALLIS-CHALMERS ENERGY INC","ALY","019645506","0000003982","1381","213111","10101020","101010",1950,2010
"43","001327","SKYWORKS SOLUTIONS INC","SWKS","83088M102","0000004127","3674","334413","45301020","453010",1965,2021
"44","001331","ALPINE GROUP INC","APNI","020825600","0000004164","3357","335929","20104010","201040",1973,2012
"45","001352","ARROW DOW JONES GLBL YLD ETF","GYLD","04273H104",NA,"6722","525910",NA,NA,2012,2021
"46","001356","ALCOA INC","AA.3","013817507",NA,"3720","3364","15104010","151040",1950,2015
"47","001367","AMBER RESOURCES CO OF COLO","3AMBEQ","023184203","0000276750","9995","999990","10102020","101020",1979,2011
"48","001380","HESS CORP","HES","42809H107","0000004447","1311","2111","10102020","101020",1969,2021
"49","001382","US AIRWAYS GROUP INC","LCC","90341W108","0000701345","4512","481111","20302010","203020",1983,2012
"50","001388","AMERICAN AIRLINES INC","AMR1","023771009","0000004515","4512","481111","20302010","203020",1983,2021
"51","001393","AMERCO","UHAL","023586100","0000004457","7510","532120","20304020","203040",1979,2021
"52","001397","AMERICAN BILTRITE INC","ABLT","024591406","0000004611","2670","322220","15101050","151010",1960,2021
"53","001408","BEAM INC","BEAM.2","073730103","0000789073","2085","312140","30201020","302010",1950,2013
"54","001410","ABM INDUSTRIES INC","ABM","000957100","0000771497","7340","561720","20201050","202010",1962,2021
"55","001414","PRIMERICA INC","PRI","74164M108","0001475922","6311","524113","40301020","403010",1950,2021
"56","001417","INVESCO BOND FUND","VBF","46132L107","0000005094","6726","525990",NA,NA,1982,2022
"57","001429","AMERICAN CRYSTAL SUGAR CO","2388B","025303108","0000004828","2060","311313","30202010","302020",1973,2013
"58","001439","US ECOLOGY INC","ECOL","91734M103","0001783400","4955","562211","20201050","202010",1984,2021
"59","001440","AMERICAN ELECTRIC POWER CO","AEP","025537101","0000004904","4911","2211","55101010","551010",1951,2021
"60","001447","AMERICAN EXPRESS CO","AXP","025816109","0000004962","6141","522210","40202010","402020",1960,2021
"61","001448","AMERICAN EXPRESS CREDIT CORP","AXP1","025818006","0000004969","6153","522298","40202010","402020",1974,2020
"62","001449","AFLAC INC","AFL","001055102","0000004977","6321","524114","40301020","403010",1977,2021
"63","001468","AMERICAN GREETINGS  -CL A","AM.1","026375105","0000005133","2771","511191","25201050","252010",1950,2012
"64","001487","AMERICAN INTERNATIONAL GROUP","AIG","026874784","0000005272","6331","524126","40301030","403010",1972,2021
"65","001491","INFINYA LTD","HAIPF","M52514102","0000005337","2621","322121","15103020","151030",1960,2015
"66","001496","AMERICAN LOCKER GROUP INC","ALGI","027284108","0000008855","2540","337215","20201060","202010",1964,2013
"67","001507","VANECK VECTORS EMG MKT HIGH","HYEM","92189F353",NA,"6722","525910",NA,NA,2012,2021
"68","001511","GOLF ROUNDS.COM INC","TEEE.","38168R108",NA,"9995","999990","45101010","451010",1980,2013
"69","001523","AMERICAN MEDICAL ALERT CORP","AMAC","027904101","0000700721","7380","561621","35102015","351020",1981,2010
"70","001526","AMERICAN NATIONAL GROUP INC","ANAT","02772A109","0001801075","6311","524113","40301030","403010",1959,2021
"71","001533","AMERICAN PACIFIC CORP","APFC","028740108","0000350832","2810","325180","15101050","151010",1974,2013
"72","001545","AMERICAN REALTY INVESTORS","ARL","029174109","0001102238","6512","531120","60102020","601020",1974,2021
"73","001554","AMERICAN SCIENCE ENGINEERING","ASEI","029429107","0000005768","3844","334517","20101010","201010",1967,2015
"74","001559","AMERICAN SHARED HSPTL SERV","AMS","029595105","0000744825","8090","621999","35102015","351020",1983,2021
"75","001562","AMERICAN SOFTWARE  -CL A","AMSWA","029683109","0000713425","7372","511210","45103010","451030",1982,2021
"76","001585","AMERICAN VANGUARD CORP","AVD","030371108","0000005981","2870","325320","15101030","151010",1974,2021
"77","001593","AMERON INTERNATIONAL CORP","AMN.2","030710107","0000790730","3270","327390","20102010","201020",1966,2010
"78","001598","AMETEK INC","AME","031100100","0001037868","3823","334513","20104010","201040",1950,2021
"79","001602","AMGEN INC","AMGN","031162100","0000318154","2836","325414","35201010","352010",1982,2021
"80","001611","AMPAL-AMERICAN ISRAEL CORP","AMPLQ","032015703","0000731859","5160","4246","20107010","201070",1976,2011
"81","001613","AMPCO-PITTSBURGH CORP","AP","032037103","0000006176","3460","332111","15104050","151040",1960,2021
"82","001618","AMREP CORP","AXR","032159105","0000006207","6552","237210","60102030","601020",1961,2020
"83","001632","ANALOG DEVICES INC","ADI","032654105","0000006281","3674","334413","45301020","453010",1968,2021
"84","001633","ANALOGIC CORP","ALOG","032657207","0000006284","3845","334510","35101010","351010",1973,2017
"85","001634","ANALYSTS INTERNATIONAL CORP","ANLY","032681207","0000006292","7371","541511","45102010","451020",1974,2012
"86","001635","ANAREN INC","ANEN","032744104","0000006314","3663","334220","45201020","452010",1974,2013
"87","001650","ANDREA ELECTRONICS CORP","ANDR","034393108","0000006494","3663","334220","45203020","452030",1960,2021
"88","001659","ANDERSONS INC","ANDE","034164103","0000821026","5150","424510","30101020","301010",1983,2021
"89","001661","NABORS INDUSTRIES LTD","NBR","G6359F137","0001163739","1381","213111","10101010","101010",1968,2021
"90","001676","MAXUM ENERGY LOGISTICS -REDH","MXLP","57799S939","0001548592","5171","424720","10102030","101020",2010,2011
"91","001678","APA CORP","APA","03743Q108","0001841666","1311","2111","10102020","101020",1960,2021
"92","001681","APOLLO SOLAR ENERGY INC","ASOE","037637105","0000726435","3330","331410","15104020","151040",1983,2014
"93","001682","APCO OIL AND GAS INTL INC","APAGF","G0471F109","0000311471","1311","211111","10102020","101020",1982,2013
"94","001686","APOGEE ENTERPRISES INC","APOG","037598109","0000006845","3442","332321","20102010","201020",1973,2021
"95","001689","APPALACHIAN POWER","AEP1","03799Y005","0000006879","4911","2211","55101010","551010",1964,2021
"96","001690","APPLE INC","AAPL","037833100","0000320193","3663","334220","45202030","452020",1980,2021
"97","001704","APPLIED MATERIALS INC","AMAT","038222105","0000006951","3559","333242","45301010","453010",1972,2021
"98","001706","ENERPAC TOOL GROUP CORP","EPAC","292765104","0000006955","3533","333132","20106020","201060",1974,2021
"99","001712","TRECORA RESOURCES","TREC","894648104","0000007039","2911","324110","15101010","151010",1976,2021
"100","001715","ARBOR MEMORIAL SERVICES INC","AROBF","038916201",NA,"6500","812220","25302020","253020",1964,2011
"101","001718","ADVANCED OXYGEN TECHNOLOGY","AOXY","00754B301","0000352991","6512","531120","60102020","601020",1982,2021
"102","001722","ARCHER-DANIELS-MIDLAND CO","ADM","039483102","0000007084","2070","31122","30202010","302020",1950,2021
"103","001728","ARDEN GROUP INC  -CL A","ARDNA","039762109","0000225051","5411","445110","30101030","301010",1978,2012
"104","001742","ARIZONA PUBLIC SERVICE CO","PNW1","040555005","0000007286","4911","2211","55101010","551010",1966,2021
"105","001743","ARCBEST CORP","ARCB","03937C105","0000894405","4213","484122","20304020","203040",1962,2021
"106","001745","ENTERGY ARKANSAS","ETR1","29364D001","0000007323","4911","2211","55101010","551010",1964,2021
"107","001773","ARROW ELECTRONICS INC","ARW","042735100","0000007536","5065","423690","45203030","452030",1960,2021
"108","001783","ARTS WAY MFG INC","ARTW","043168103","0000007623","3523","333111","20106015","201060",1971,2021
"109","001790","ASBESTOS CORP LTD","AB.","043420108",NA,"6799","523999","15104020","151040",1960,2021
"110","001794","ASHLAND GLOBAL HOLDINGS INC","ASH","044186104","0001674862","2820","3252","15101050","151010",1950,2021
"111","001820","ASTRONOVA INC","ALOT","04638F108","0000008146","3577","334118","45202030","452020",1980,2021
"112","001823","ASTRONICS CORP","ATRO","046433108","0000008063","3640","336320","20101010","201010",1974,2021
"113","001828","ATCO LTD  -CL I","ACLLF","046789400","0001261317","4932","221210","55103010","551030",1967,2021
"114","001837","SOUTHERN CO GAS","SO7","84399X001","0001004155","4924","221210","55102010","551020",1958,2021
"115","001858","CEVA LOGISTICS INC-REDH","CEVL","15799H931","0001391594","4731","541614","20301010","203010",2010,2011
"116","001860","ATWOOD OCEANICS","ATW","050095108","0000008411","1381","213111","10101010","101010",1971,2016
"117","001864","REX AMERICAN RESOURCES CORP","REX","761624105","0000744187","2860","325193","10102030","101020",1983,2021
"118","001868","ASSURANCEAMERICA CORP","ASAM","04621M300","0000008497","6411","524210","40301040","403010",1976,2011
"119","001878","AUTODESK INC","ADSK","052769106","0000769397","7370","519130","45103010","451030",1984,2021
"120","001891","AUTOMATIC DATA PROCESSING","ADP","053015103","0000008670","7374","518210","45102020","451020",1962,2021
"121","001906","A V HOMES INC","AVHI.1","00234P102","0000039677","1531","236117","25201030","252010",1981,2017
"122","001913","AVERY DENNISON CORP","AVY","053611109","0000008818","2670","322220","15103020","151030",1960,2021
"123","001919","AVNET INC","AVT","053807103","0000008858","5065","423690","45203030","452030",1958,2021
"124","001920","AVON PRODUCTS","AVP","054303102","0000008868","2844","325620","30302010","303020",1950,2018
"125","001926","AZZ INC","AZZ","002474104","0000008947","3640","335122","20104020","201040",1973,2021
"126","001932","BRITISH AMER TOBACCO PLC","BTI","110448107","0001303523","2111","312230","30203010","302030",1976,2021
"127","001949","BRT APARTMENTS CORP","BRT","055645303","0000014846","6798","531110","60101060","601010",1973,2021
"128","001951","BSD MEDICAL CORP","PRSNQ","055665103","0000320174","3845","334510","35101010","351010",1981,2014
"129","001968","BADGER METER INC","BMI","056525108","0000009092","3824","334514","45203010","452030",1963,2021
"130","001974","BAKER (MICHAEL) CORP","BKR.1","057149106","0000009263","8711","541330","20103010","201030",1968,2012
"131","001976","BAKER HUGHES INC","BHI","057224107","0000808362","1381","213111","10101020","101010",1954,2016
"132","001979","BALCHEM CORP  -CL B","BCPC","057665200","0000009326","2834","325412","15101050","151010",1974,2021
"133","001982","PROTECTIVE INSURANCE CORP","PTVCB","74368L203","0000009346","6331","524126","40301040","403010",1969,2020
"134","001988","BALL CORP","BALL","058498106","0000009389","3411","332431","15103010","151030",1972,2021
"135","001995","CONSTELLATION ENERGY GRP INC","CEG.1","210371100","0001004440","4931","22111","55105010","551050",1951,2011
"136","002002","POPULAR INC","BPOP","733174700","0000763901","6020","522110","40101015","401010",1965,2021
"137","002005","BANK OF HAWAII CORP","BOH","062540109","0000046195","6020","522110","40101015","401010",1963,2021
"138","002006","BANCTEC INC-REDH","BTEC.1","05978A104","0000318378","7372","511210","45102010","451020",1979,2010
"139","002011","BANGOR HYDRO-ELECTRIC CO","EMA1.","060077005","0000009548","4911","22111","55101010","551010",1958,2011
"140","002019","BANK OF NEW YORK MELLON CORP","BK","064058100","0001390777","6020","522110","40203010","402030",1969,2021
"141","002025","BRE PROPERTIES INC","BRE","05564E106","0001011174","6798","531110","40402050","404020",1971,2013
"142","002044","BARD (C.R.) INC","BCR","067383109","0000009892","3841","339112","35101010","351010",1963,2016
"143","002049","BARNES GROUP INC","B","067806109","0000009984","3490","332613","20106020","201060",1960,2021
"144","002052","BARNWELL INDUSTRIES","BRN","068221100","0000010048","1311","2111","10102020","101020",1960,2021
"145","002055","BARRICK GOLD CORP","GOLD","067901108","0000756894","1040","212221","15104030","151040",1983,2021
"146","002061","BARRY (R G) CORP","DFZ","068798107","0000749872","3140","316210","25203020","252030",1963,2013
"147","002073","EARTHSTONE ENERGY INC -OLD","ESTE.1","27099Q933",NA,"1311","211111","10102020","101020",1974,2013
"148","002080","BASSETT FURNITURE INDS","BSET","070203104","0000010329","2511","337122","25201020","252010",1965,2021
"149","002085","BAUSCH & LOMB HLDGS  -REDH","6583B","71799B937","0001416436","2834","325412","35101020","351010",1950,2012
"150","002086","BAXTER INTERNATIONAL INC","BAX","071813109","0000010456","2834","325412","35101010","351010",1950,2021
"151","002100","BEARD CO","BRCOQ","07384R408","0000909992","9995","999990","10102020","101020",1974,2011
"152","002101","APPLIED INDUSTRIAL TECH INC","AIT","03820C105","0000109563","5080","423830","20107010","201070",1960,2021
"153","002109","PRIME TIME HOLDINGS INC","PRTM","74167E103","0001493893","1040","212221","15104030","151040",2012,2016
"154","002111","BECTON DICKINSON & CO","BDX","075887109","0000010795","3841","339112","35101010","351010",1957,2021
"155","002124","BEL FUSE INC","BELFB","077347300","0000729580","3677","334416","45203015","452030",1982,2021
"156","002128","BELDEN & BLAKE CORP","4994B","07799Z938","0000880114","1311","211111","10102020","101020",1984,2010
"157","002136","VERIZON COMMUNICATIONS INC","VZ","92343V104","0000732712","4812","517312","50101020","501010",1984,2021
"158","002137","BCE INC","BCE","05534B760","0000718940","4813","517311","50101020","501010",1960,2021
"159","002138","BELL INDUSTRIES INC","BLLI","078111200","0000945489","7373","541512","45102010","451020",1961,2010
"160","002150","BELO CORP  -SER A COM","BLC","080555105","0000356080","4833","515120","25401020","254010",1980,2012
"161","002154","BEMIS CO INC","BMS","081437105","0000011199","2670","326112","15103020","151030",1960,2018
"162","002163","BENIHANA INC","BNHN","082047101","0000935226","5812","722511","25301040","253010",1983,2011
"163","002176","BERKSHIRE HATHAWAY","BRK.B","084670702","0001067983","9997","999977","40201030","402010",1960,2021
"164","002184","BEST BUY CO INC","BBY","086516101","0000764478","5731","443142","25504020","255040",1983,2021
"165","002220","BIO-RAD LABORATORIES INC","BIO","090572207","0000012208","3826","334516","35203010","352030",1974,2021
"166","002222","SAVIENT PHARMACEUTICALS INC","SVNTQ","80517Q100","0000722104","2836","325414","35201010","352010",1983,2012
"167","002230","BIOMET INC","5938B","09099P941","0000351346","3842","339113","35101010","351010",1981,2013
"168","002236","BIOTEL INC","3BTEL","09067F107","0001300128","3845","334510","35101010","351010",1983,2010
"169","002237","SPHERIX INC  -OLD","SPEX.2","84899R934","0001584361","2836","325414","20202020","202020",1974,2012
"170","002240","NON INVASIVE MONITOR","NIMU","655366508","0000720762","3845","334510","35101010","351010",1983,2021
"171","002259","BLACK HILLS CORP","BKH","092113109","0001130464","4911","2211","55103010","551030",1958,2021
"172","002269","BLOCK H & R INC","HRB","093671105","0000012659","7200","541213","25302020","253020",1963,2021
"173","002270","VALARIS LTD","VAL","G9460G101","0000314808","1381","213111","10101010","101010",1978,2021
"174","002271","BLOUNT INTL INC","BLT","095180105","0001001606","3420","332216","20106020","201060",1971,2015
"175","002277","BLUE RIDGE REAL ESTATE CO","BRRE","096005301","0000012779","6500","531","60102020","601020",1973,2021
"176","002282","BOB EVANS FARMS","BOBE","096761101","0000033769","2013","311612","30202030","302020",1962,2016
"177","002285","BOEING CO","BA","097023105","0000012927","3721","336411","20101010","201010",1950,2021
"178","002290","OFFICEMAX INC","OMX","67622P101","0000012978","5110","424120","25504040","255040",1956,2012
"179","002295","BOLT TECHNOLOGY CORP","BOLT.1","097698104","0000354655","3533","333132","10101020","101010",1981,2014
"180","002312","ROBERT HALF INTL INC","RHI","770323103","0000315213","7363","561320","20202010","202020",1971,2021
"181","002316","HEXION INC","0141A","60899Z001","0000013239","2821","325211","15101020","151010",1950,2020
"182","002328","NSTAR","NST","67019E107","0001035675","4911","22111","55103010","551030",1951,2011
"183","002337","RESOLUTE FOREST PRODUCTS INC","RFP","76117W109","0001393066","2621","322121","15105020","151050",1983,2021
"184","002338","REXAM PLC","REXMY","761655604","0000013522","3411","332431","15103010","151030",1950,2015
"185","002340","ENTRPRIZE CORP","ENTP","293847109","0000013547","1700","238990","20102010","201020",1974,2010
"186","002342","BOWL AMERICA INC  -CL A","BWL.A","102565108","0000013573","7900","713950","25301030","253010",1974,2020
"187","002352","BRADY CORP","BRC","104674106","0000746598","3990","339950","20201010","202010",1983,2021
"188","002369","BROOKFIELD ASSET MANAGEMENT","BAM","112585104","0001001085","6200","523","40203010","402030",1978,2021
"189","002390","BRIDGFORD FOODS CORP","BRID","108763103","0000014177","2013","311612","30202030","302020",1966,2021
"190","002393","BRIGGS & STRATTON","BGGSQ","109043109","0000014195","3510","333618","20106020","201060",1950,2019
"191","002402","MSGI SECURITY SOLUTIONS INC","MSGI","553570102","0000014280","3679","334220","45203010","452030",1981,2010
"192","002403","BRISTOL-MYERS SQUIBB CO","BMY","110122108","0000014272","2834","325412","35202010","352020",1950,2021
"193","002406","CATALYST PAPER CORP","CYSTQ","14889B102","0001144906","2621","322121","15105020","151050",1963,2015
"194","002408","TELUS CORP","TU","87971M103","0000868675","4812","517312","50101020","501010",1960,2021
"195","002410","BP PLC","BP","055622104","0000313807","2911","324110","10102010","101020",1950,2021
"196","002411","BT GROUP PLC","BTY10","05577E101","0000756620","4813","517311","50101020","501010",1983,2018
"197","002433","BNS HOLDING CO","BNSSA","055966402","0000014637","3713","336211","20106020","201060",1950,2011
"198","002435","BROWN FORMAN CORP","BF.B","115637209","0000014693","2085","312140","30201020","302010",1950,2021
"199","002436","CALERES INC","CAL","129500104","0000014707","5661","448210","25504010","255040",1950,2021
"200","002444","BRUNSWICK CORP","BC","117043109","0000014930","3510","333618","25202010","252020",1950,2021
"201","002448","MATERION CORP","MTRN","576690101","0001104657","3330","331410","15104020","151040",1950,2021
"202","002484","BURLINGTON COAT FACTORY INVS","0015B","121579932","0000718916","5651","448140","25504010","255040",1982,2013
"203","002485","ELEKTROS INC","ELEK","286176102","0001518487","3711","336111","25102010","251020",2011,2017
"204","002490","BURLINGTON NORTHERN SANTA FE","BRK3","08499Z004","0000934612","4011","482111","20304010","203040",1968,2021
"205","002497","MASTEC INC","MTZ","576323109","0000015615","1623","237130","20103010","201030",1967,2021
"206","002504","UNISYS CORP","UIS","909214306","0000746838","7373","541512","45102010","451020",1950,2021
"207","002519","BUTLER NATIONAL CORP","BUKS","123720104","0000015847","8741","561110","20101010","201010",1962,2020
"208","002526","CAE INC","CAE","124765108","0001173382","3690","333318","20101010","201010",1960,2021
"209","002536","LIVERAMP HOLDINGS INC","RAMP","53815P108","0000733269","7370","519130","45103010","451030",1984,2021
"210","002538","CDI CORP","CDI","125071100","0000018396","7363","5613","20202010","202020",1966,2016
"211","002547","CIGNA CORP","CI","125523100","0001739940","6324","524114","35102015","351020",1959,2021
"212","002555","CPI CORP","CPICQ","125902106","0000025354","7200","541921","25302020","253020",1981,2011
"213","002556","CSS INDUSTRIES INC","CSS","125906107","0000020629","2670","322220","25201050","252010",1973,2018
"214","002558","CNA FINANCIAL CORP","CNA","126117100","0000021175","6331","524126","40301040","403010",1972,2021
"215","002573","CSP INC","CSPI","126389105","0000356037","7373","541512","45102010","451020",1981,2021
"216","002574","CSX CORP","CSX","126408103","0000277948","4011","482111","20304010","203040",1957,2021
"217","002577","CTS CORP","CTS","126501105","0000026058","3670","33441","45203020","452030",1960,2021
"218","002578","TELOS CORP/MD","TLS","87969B101","0000320121","7373","541512","45103020","451030",1979,2021
"219","002581","CVD EQUIPMENT CORP","CVV","126601103","0000766792","3559","333249","45301010","453010",1984,2021
"220","002593","CABOT CORP","CBT","127055101","0000016040","2890","325180","15101010","151010",1962,2021
"221","002595","CACHE INC","CACH","127150308","0000350199","5621","448120","25504010","255040",1980,2013
"222","002596","CACI INTL INC  -CL A","CACI","127190304","0000016058","7373","541512","20202020","202020",1974,2021
"223","002606","CAGLE'S INC  -CL A","CAGAQ","127703106","0000016104","2015","311615","30202030","302020",1968,2010
"224","002615","CALAMP CORP","CAMP","128126109","0000730255","3663","334220","45201020","452010",1982,2021
"225","002620","MUFG AMERICAS HOLDINGS CORP","0176A","62299A008","0001011659","6020","522110","40101015","401010",1988,2020
"226","002626","KONARED CORP","KRED","50048Y104","0001527355","2086","312111","30202030","302020",2013,2017
"227","002628","CALIFORNIA WATER SERVICE GP","CWT","130788102","0001035201","4941","221310","55104010","551040",1974,2021
"228","002663","CAMPBELL SOUP CO","CPB","134429109","0000016732","2030","311422","30202030","302020",1950,2021
"229","002675","MAPLE LEAF FOODS INC","MLFNF","564905107","0001202643","2000","3116","30202030","302020",1960,2021
"230","002696","CANADIAN NATIONAL RAILWAY CO","CNI","136375102","0000016868","4011","482111","20304010","203040",1977,2021
"231","002697","NEXEN INC","NXY","65334H102","0000016873","1311","211111","10102020","101020",1964,2012
"232","002698","CANADIAN PACIFIC RAILWAY LTD","CP","13645T100","0000016875","4011","482111","20304010","203040",1960,2021
"233","002703","CANADIAN TIRE CORP  -CL A","CDNAF","136681202",NA,"5531","441320","25503020","255030",1960,2021
"234","002710","CONSTELLATION BRANDS","STZ","21036P108","0000016918","2082","312120","30201020","302010",1973,2021
"235","002721","CANON INC","CAJ","138006309","0000016988","3577","333316","45202030","452020",1974,2021
"236","002735","CAPITAL PROPERTIES INC","CPTP","140430109","0000202947","6519","531190","60102020","601020",1974,2021
"237","002751","CARDINAL HEALTH INC","CAH","14149Y108","0000721371","5122","424210","35102010","351020",1982,2021
"238","002771","CARLISLE COS INC","CSL","142339100","0000790051","2950","324122","20102010","201020",1960,2021
"239","002777","GUNGNIR RESOURCES INC","ASWRF","40281L109","0001686954","1040","212221","15104040","151040",1978,2021
"240","002783","PROGRESS ENERGY INC","DUK8","26499B009","0001094093","4911","2211","55101010","551010",1951,2021
"241","002787","CARPENTER TECHNOLOGY CORP","CRS","144285103","0000017843","3312","331110","15104050","151040",1950,2021
"242","002791","CARROLS CORP","TAST1","145744009","0000017927","5812","722513","25301040","253010",1967,2010
"243","002802","CASCADE CORP","CASC.2","147195101","0000018061","3537","333924","20106010","201060",1965,2012
"244","002807","CASEYS GENERAL STORES INC","CASY","147528103","0000726958","5412","447110","30101030","301010",1982,2021
"245","002811","CASTLE (A M) & CO","CTAM","148411408","0000018172","5051","423510","20107010","201070",1950,2020
"246","002812","DOLE FOOD CO INC","DOLE.1","256603101","0000018169","0100","111339","30202030","302020",1960,2012
"247","002817","CATERPILLAR INC","CAT","149123101","0000018230","3531","333120","20106010","201060",1950,2021
"248","002818","CATO CORP  -CL A","CATO","149205106","0000018255","5621","448120","25504010","255040",1973,2021
"249","002820","CAVCO INDUSTRIES INC","CVCO","149568107","0000278166","2452","321992","25201030","252010",1979,2021
"250","002829","R F INDUSTRIES LTD","RFIL","749552105","0000740664","3678","334417","45203020","452030",1983,2021
"251","002831","ADVANCED BATTERY TECH INC","ABAT","00752H102","0000745651","3690","335911","20104010","201040",1985,2010
"252","002849","BBVA COMPASS BANCSHARES INC","BBVA1","05946K002","0001409775","6020","522110","40101015","401010",1978,2020
"253","002852","CENTRAL NATURAL RES INC","CTNR","15459P108","0000018605","6792","533110","10102020","101020",1974,2016
"254","002856","CH ENERGY GROUP INC","CHG.2","12541M102","0001061393","4931","22111","55103010","551030",1951,2012
"255","002859","CLECO CORP","CNL","12561W105","0001089819","4911","22111","55101010","551010",1951,2015
"256","002862","AEP TEXAS CENTRAL CO","AEP11","025537002","0000018734","4911","2211","55101010","551010",1964,2015
"257","002865","CENTRAL STEEL & WIRE CO","CSTW","155411101","0000018783","5051","423510","20107010","201070",1974,2017
"258","002870","CENTRAL VERMONT PUB SERV","CV","155771108","0000018808","4911","22111","55101010","551010",1958,2011
"259","002884","LUMEN TECHNOLOGIES INC","LUMN","550241103","0000018926","4813","517311","50101010","501010",1971,2021
"260","002888","CERADYNE INC","CRDN","156710105","0000018937","3290","327999","20101010","201010",1984,2011
"261","002897","CYBRDI INC","CYDI","23254K100","0000019002","2835","325413","35201010","352010",1968,2013
"262","002911","UNIFIED GROCERS INC","3089B","90499X932","0000320431","5141","424410","30101020","301010",1982,2016
"263","002938","CHARMING SHOPPES INC","CHRS.1","161133103","0000019353","5621","448120","25504010","255040",1971,2011
"264","002940","MAGELLAN HEALTH INC","MGLN","559079207","0000019411","8741","561110","35102030","351020",1971,2020
