"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"The Southington Bank and Trust Company",NA,"CT","Connecticut","NM",48570000,4,573401,"the southington bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Colonial Bank of Waterbury",NA,"CT","Connecticut","NM",624655000,6,148304,"colonial bank of waterbury",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Fleet Bank of Maine",NA,"ME","Maine","SM",1699404000,8,422406,"fleet bank of maine",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Union Trust Company",NA,"ME","Maine","SM",539169000,9,563907,"union trust company",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Northeast Bank of Sanford",NA,"ME","Maine","SM",55692000,10,112109,"northeast bank of sanford",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"State Street Bank and Trust Company","State Street Corporation","MA","Massachusetts","SM",233542890000,14,35301,"state street bank and trust company",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"BayBank Harvard Trust Company",NA,"MA","Massachusetts","NM",1435310000,18,852209,"baybank harvard trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Durfee Attleboro Bank",NA,"MA","Massachusetts","NM",346808000,20,202402,"durfee attleboro bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of New England - North Shore",NA,"MA","Massachusetts","SM",153274000,21,658205,"bank of new england - north shore",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Shawmut Bank of Franklin County",NA,"MA","Massachusetts","NM",159727000,22,661205,"shawmut bank of franklin county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of New England - Hancock",NA,"MA","Massachusetts","NM",414795000,27,889607,"bank of new england - hancock",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Eastern Bank and Trust Company",NA,"MA","Massachusetts","NM",12474000,28,372109,"eastern bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"BayBank Winchester Trust Company",NA,"MA","Massachusetts","NM",23379000,30,633006,"baybank winchester trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Indian Head Bank North",NA,"NH","New Hampshire","NM",204423000,31,146805,"indian head bank north",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"AuburnBank","Auburn National Bancorporation, Inc.","AL","Alabama","SM",843447000,35,749635,"auburnbank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Bank of the South",NA,"AL","Alabama","NM",56420000,36,859637,"bank of the south",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Alabama City Bank of Gadsden, Alabama",NA,"AL","Alabama","NM",61089000,37,629438,"alabama city bank of gadsden, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Exchange Bank, Attalla, Alabama",NA,"AL","Alabama","NM",63927000,38,672537,"the exchange bank, attalla, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Robertson Banking Company","Rbc, Inc.","AL","Alabama","NM",278881000,39,430036,"robertson banking company",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"East Gadsden Bank",NA,"AL","Alabama","NM",43800000,40,842282,"east gadsden bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Phenix-Girard Bank","Phenix-Girard Bancshares, Inc.","AL","Alabama","NM",175033000,41,432432,"phenix-girard bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Arab",NA,"AL","Alabama","NM",32225000,42,33437,"the bank of arab",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Berry",NA,"AL","Alabama","NM",12825000,43,754031,"the bank of berry",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Jacobs Bank",NA,"AL","Alabama","NM",173273000,45,230731,"jacobs bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Merchants Bank of Alabama","Merchants Financial Services, Inc.","AL","Alabama","NM",278248000,46,113937,"merchants bank of alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Traders & Farmers Bank","Traders & Farmers Bancshares, Inc.","AL","Alabama","NM",380746000,47,390336,"traders & farmers bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Citizens Bank of Georgiana",NA,"AL","Alabama","NM",7741000,48,569338,"the citizens bank of georgiana",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Evergreen",NA,"AL","Alabama","NM",61435000,49,560438,"bank of evergreen",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Spirit Bank","Independent Bancshares, Inc. Employee Stock Ownership Plan","AL","Alabama","NM",143583000,50,470032,"community spirit bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Bank of Vernon","First Vernon Bancshares, Inc.","AL","Alabama","NM",143537000,51,382537,"the bank of vernon",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Citizens Bank of Winfield","Citizens Bancorp Of Winfield, Inc.","AL","Alabama","NM",222318000,52,293437,"the citizens bank of winfield",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Peoples Community Bank",NA,"AL","Alabama","NM",160002000,53,190732,"peoples community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Exchange Bank of Alabama","Gadsden Corporation, The","AL","Alabama","NM",285319000,54,672537,"the exchange bank of alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Covington County",NA,"AL","Alabama","NM",73792000,55,693082,"first alabama bank of covington county",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"SouthTrust Bank of Central Alabama",NA,"AL","Alabama","NM",131453000,56,318237,"southtrust bank of central alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Bank",NA,"AL","Alabama","NM",569546000,57,594134,"community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"United Bank","United Bancorporation Of Alabama, Inc.","AL","Alabama","NM",572310000,58,994435,"united bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens Bank",NA,"AL","Alabama","NM",172397000,59,447034,"the citizens bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"BankTrust of Brewton",NA,"AL","Alabama","NM",117230000,60,462738,"banktrust of brewton",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Florala",NA,"AL","Alabama","NM",20843000,61,562535,"bank of florala",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Parrish",NA,"AL","Alabama","NM",21876000,63,521934,"the bank of parrish",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Commercial Bank of Roanoke, Alabama",NA,"AL","Alabama","NM",40564000,64,530534,"the commercial bank of roanoke, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Central Bank of St. Clair County",NA,"AL","Alabama","NM",10626000,65,246536,"central bank of st. clair county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Chilton County",NA,"AL","Alabama","NM",20888000,66,254287,"first alabama bank of chilton county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"SouthTrust Bank of Tuskegee",NA,"AL","Alabama","NM",15864000,67,327136,"southtrust bank of tuskegee",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Peachtree Bank",NA,"AL","Alabama","NM",53934000,68,572338,"peachtree bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Luverne Bank & Trust Company",NA,"AL","Alabama","NM",31534000,69,571836,"luverne bank & trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Peoples Exchange Bank of Monroe County","Peoples Exchange Bancshares, Inc.","AL","Alabama","NM",64670000,70,42037,"peoples exchange bank of monroe county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Walker County",NA,"AL","Alabama","NM",40412000,71,603830,"first alabama bank of walker county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Central State Bank","Central State Bancorporation","AL","Alabama","SM",257971000,72,353238,"central state bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"SouthTrust Bank of Etowah County, National Association",NA,"AL","Alabama","N",269047000,73,809735,"southtrust bank of etowah county, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Brundidge Banking Company, Inc.",NA,"AL","Alabama","SM",53878000,74,535632,"brundidge banking company, inc.",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"First Alabama Bank of Athens, N. A.",NA,"AL","Alabama","N",58678000,75,992338,"first alabama bank of athens, n. a.",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"The Peoples Bank",NA,"AL","Alabama","NM",11896000,76,191234,"the peoples bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"BankSouth","Bancsouth Corporation","AL","Alabama","NM",170786000,77,194936,"banksouth",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Guntersville",NA,"AL","Alabama","NM",28898000,78,636687,"first alabama bank of guntersville",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Weiner",NA,"AR","Arkansas","NM",31122000,79,844044,"bank of weiner",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Horizon Bank",NA,"AR","Arkansas","NM",21931000,80,904144,"horizon bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Warren Bank and Trust Company",NA,"AR","Arkansas","SM",134557000,81,748441,"warren bank and trust company",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Boatmen's Bank of Northeast Arkansas",NA,"AR","Arkansas","NM",283249000,82,285441,"boatmen's bank of northeast arkansas",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Security Bank",NA,"AR","Arkansas","SM",119311000,83,267148,"the security bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Union Planters Bank of Northeast Arkansas",NA,"AR","Arkansas","NM",712107000,84,414241,"union planters bank of northeast arkansas",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Madison Bank and Trust",NA,"AR","Arkansas","NM",27378000,85,538642,"madison bank and trust",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Marked Tree Bank",NA,"AR","Arkansas","NM",31748000,86,910145,"marked tree bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Peoples Bank and Loan Co.",NA,"AR","Arkansas","SM",35463000,87,294041,"peoples bank and loan co.",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Generations Bank","Harrell Bancshares, Inc.","AR","Arkansas","NM",420436000,88,329345,"generations bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Signature Bank of Arkansas","White River Bancshares Company","AR","Arkansas","NM",545078000,89,3350724,"signature bank of arkansas",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Commercial Bank & Trust Company","Drew Bancshares, Inc.","AR","Arkansas","SM",193554000,90,23643,"commercial bank & trust company",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Allied Bank",NA,"AR","Arkansas","SM",66336000,91,28349,"allied bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Delta Trust & Bank",NA,"AR","Arkansas","NM",435068000,92,914349,"delta trust & bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Riverside Bank","Riverside Bancshares, Inc","AR","Arkansas","NM",58686000,93,977045,"riverside bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"First State Bank of Warren","Bradley Bancshares, Inc.","AR","Arkansas","SM",113854000,94,843542,"first state bank of warren",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Citizens First Bank",NA,"AR","Arkansas","SM",116593000,95,525147,"citizens first bank",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"Planters Bank & Trust Company",NA,"AR","Arkansas","NM",60664000,96,436748,"planters bank & trust company",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Arkansas Bank and Trust Company",NA,"AR","Arkansas","SM",446375000,97,339540,"arkansas bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Valley Bank",NA,"AR","Arkansas","NM",1924000,98,272647,"valley bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Bank of Delight",NA,"AR","Arkansas","NM",109040000,99,455945,"bank of delight",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Bentonville",NA,"AR","Arkansas","SM",712714000,100,105549,"bank of bentonville",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Bank of Prescott","Prescott Bancshares, Inc","AR","Arkansas","NM",80913000,101,967943,"bank of prescott",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Security Bank",NA,"AR","Arkansas","NM",116636000,102,589046,"security bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"River Valley Bank and Trust",NA,"AR","Arkansas","SM",80310000,103,293549,"river valley bank and trust",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Commercial Bank at Alma",NA,"AR","Arkansas","NM",73774000,104,307240,"commercial bank at alma",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Cave City","Sharp Bancshares, Inc.","AR","Arkansas","SM",110975000,105,629148,"bank of cave city",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"The Merchants & Planters Bank","Clarendon Holding Co.","AR","Arkansas","NM",47397000,107,691042,"the merchants & planters bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Chambers Bank of North Arkansas",NA,"AR","Arkansas","NM",287433000,108,649548,"chambers bank of north arkansas",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Horatio State Bank","Pioneer Bancshares, Inc. Of Horatio, Ark","AR","Arkansas","NM",190474000,109,458142,"horatio state bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of the Ozarks","Bank Of The Ozarks Inc","AR","Arkansas","NM",19139217000,110,107244,"bank of the ozarks",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Santa Monica Bank",NA,"CA","California","NM",678407000,114,375669,"santa monica bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"NCNB National Bank of Florida",NA,"FL","Florida","N",42886000,123,644730,"ncnb national bank of florida",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Southeast Bank of Madison County, National Association",NA,"FL","Florida","N",31954000,124,610632,"southeast bank of madison county, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Southeast Bank of Wildwood",NA,"FL","Florida","NM",21210000,125,405838,"southeast bank of wildwood",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Atlantic Bank of Jacksonville",NA,"FL","Florida","NM",336156000,126,773135,"atlantic bank of jacksonville",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"NationsBank of Florida, National Association",NA,"GA","Georgia","N",51623000,127,147231,"nationsbank of florida, national association",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"Century National Bank of Broward",NA,"FL","Florida","N",469683000,128,920238,"century national bank of broward",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Flagship Bank of Lake Alfred",NA,"FL","Florida","NM",16692000,129,215439,"flagship bank of lake alfred",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Huntington National Bank of Lakeland",NA,"FL","Florida","N",530239000,130,220938,"the huntington national bank of lakeland",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Seacoast National Bank","Capgen Capital Group Iii Lp","FL","Florida","N",4763372000,131,34537,"seacoast national bank",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"SunTrust Bank, Tampa Bay",NA,"FL","Florida","SM",2925239000,132,181637,"suntrust bank, tampa bay",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Barnett Bank of Tampa, National Association",NA,"FL","Florida","N",1589658000,133,180032,"barnett bank of tampa, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"The Perkins State Bank",NA,"FL","Florida","NM",175244000,134,107431,"the perkins state bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Florida Bank of Volusia County",NA,"FL","Florida","NM",232403000,135,1010136,"florida bank of volusia county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Southeast Bank of Perry, National Association",NA,"FL","Florida","N",32435000,137,179139,"southeast bank of perry, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"First Bank of Crestview",NA,"FL","Florida","SM",53764000,138,70834,"first bank of crestview",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"The First Bankers of Polk County",NA,"FL","Florida","NM",180304000,139,167631,"the first bankers of polk county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Broadway National Bank of Tampa",NA,"FL","Florida","N",51348000,140,169635,"the broadway national bank of tampa",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Southeast National Bank of Bradenton",NA,"FL","Florida","N",134299000,141,278836,"southeast national bank of bradenton",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Barnett Bank of Putnam County",NA,"FL","Florida","NM",80486000,142,940638,"barnett bank of putnam county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Caribank",NA,"FL","Florida","NM",525792000,143,977335,"caribank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Barnett Bank of West Florida",NA,"FL","Florida","SM",792013000,144,457136,"barnett bank of west florida",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Sun Bank and Trust Company",NA,"FL","Florida","NM",1094453000,145,342139,"sun bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"SunTrust Bank, Northwest, Florida",NA,"FL","Florida","NM",1224737000,146,224338,"suntrust bank, northwest, florida",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Century Bank and Trust","Century Bancorp, Inc.","GA","Georgia","NM",247144000,147,944337,"century bank and trust",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Madison","Madison Bank Corp.","GA","Georgia","NM",224681000,148,752831,"bank of madison",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Hazlehurst","Hazlehurst Investors, Inc.","GA","Georgia","NM",144017000,149,628039,"bank of hazlehurst",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens and Southern Bank of Dublin",NA,"GA","Georgia","NM",103599000,150,606635,"the citizens and southern bank of dublin",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Habersham Bank",NA,"GA","Georgia","NM",387681000,151,270335,"habersham bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Coffee County Bank",NA,"GA","Georgia","NM",84288000,152,481739,"coffee county bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Citizens Bank",NA,"GA","Georgia","NM",101937000,153,1005637,"citizens bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Bank of Alapaha","Alapaha Holding Company","GA","Georgia","NM",149826000,155,986935,"bank of alapaha",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Monroe County Bank",NA,"GA","Georgia","NM",94323000,156,78036,"monroe county bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Bank of Milan",NA,"GA","Georgia","NM",41439000,157,612234,"bank of milan",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The United Banking Company",NA,"GA","Georgia","NM",86876000,158,622439,"the united banking company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Sylvester Banking Company",NA,"GA","Georgia","NM",44091000,159,555836,"sylvester banking company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Exchange Bank","Exchange Bankshares, Inc.","GA","Georgia","NM",244043000,160,613839,"exchange bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"1st Community Bank",NA,"GA","Georgia","SA",189305000,161,428435,"1st community bank",TRUE,"Commented",2565978874.81297,145717500,1820608982.63889,218372500
"The Citizens and Southern Bank of Thomaston",NA,"GA","Georgia","NM",60437000,162,192633,"the citizens and southern bank of thomaston",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Allied Bank of Georgia",NA,"GA","Georgia","NM",535505000,163,281733,"allied bank of georgia",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Washington Loan & Banking Company",NA,"GA","Georgia","NM",48988000,164,169934,"washington loan & banking company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens Bank",NA,"GA","Georgia","NM",97235000,166,374336,"the citizens bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Citizens and Southern Bank of Colquitt County",NA,"GA","Georgia","NM",45999000,167,763538,"the citizens and southern bank of colquitt county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Morgan County",NA,"GA","Georgia","NM",43625000,168,361130,"bank of morgan county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First National Bank of Griffin",NA,"GA","Georgia","N",260747000,169,563233,"first national bank of griffin",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"The Peoples Bank of Georgia",NA,"GA","Georgia","NM",70803000,170,272030,"the peoples bank of georgia",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Peoples Bank of Bartow County",NA,"GA","Georgia","NM",55346000,171,556338,"peoples bank of bartow county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"United Bank","United Bank Corporation","GA","Georgia","NM",1295604000,172,37435,"united bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Peoples Bank",NA,"GA","Georgia","NM",94675000,173,709031,"the peoples bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Commercial Bank","Tcb Bancshares, Inc.","GA","Georgia","NM",146777000,175,469737,"the commercial bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First South Bank, National Association",NA,"GA","Georgia","N",100032000,176,496630,"first south bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Talbot State Bank","Tsb Bancorp, Inc.","GA","Georgia","NM",67332000,178,577230,"talbot state bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Roswell Bank",NA,"GA","Georgia","NM",175341000,179,357236,"roswell bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Rockmart Bank",NA,"GA","Georgia","NM",34312000,181,963132,"the rockmart bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Peoples Bank",NA,"GA","Georgia","NM",447185000,182,454434,"the peoples bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Merchants & Citizens Bank",NA,"GA","Georgia","NM",109968000,183,784430,"the merchants & citizens bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Villa Rica",NA,"GA","Georgia","NM",54356000,184,569132,"bank of villa rica",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens and Southern Bank of Carrollton",NA,"GA","Georgia","NM",95012000,185,149936,"the citizens and southern bank of carrollton",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"FLAG Bank",NA,"GA","Georgia","NM",1756782000,186,203333,"flag bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Heard County",NA,"GA","Georgia","NM",45196000,187,497132,"the bank of heard county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Granite City Bank",NA,"GA","Georgia","NM",100912000,188,65232,"granite city bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"PlantersFIRST",NA,"GA","Georgia","NM",177204000,189,300933,"plantersfirst",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Commercial Bank",NA,"GA","Georgia","NM",526431000,190,438238,"commercial bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Bank of Meigs",NA,"GA","Georgia","NM",5261000,191,881638,"bank of meigs",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First National Bank of West Point",NA,"GA","Georgia","N",152610000,192,30632,"first national bank of west point",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"The Heritage Bank","Liberty Shares, Inc.","GA","Georgia","NM",576996000,193,507330,"the heritage bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Wadley",NA,"GA","Georgia","NM",24179000,194,509035,"bank of wadley",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens Exchange Bank",NA,"IN","Indiana","NM",56523000,195,549545,"the citizens exchange bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Alliance Bank","Alliance Bancorp","IN","Indiana","NM",306922000,197,493741,"alliance bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Farmers State Bank",NA,"IN","Indiana","NM",20420000,199,346641,"farmers state bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"First United Bank, National Association",NA,"IN","Indiana","N",93962000,202,966946,"first united bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Farmers State Bank",NA,"IN","Indiana","NM",4543000,203,937544,"farmers state bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Orange County Bank",NA,"IN","Indiana","NM",114283000,204,1011441,"orange county bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Union State Bank",NA,"IN","Indiana","NM",4208000,208,45645,"the union state bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Ameritrust Bank, Morgan County",NA,"IN","Indiana","NM",63021000,209,378941,"ameritrust bank, morgan county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Tri-County Bank & Trust Company","Tri-County Bancorp.","IN","Indiana","NM",186187000,210,914545,"tri-county bank & trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"American State Bank",NA,"IN","Indiana","NM",59646000,211,157342,"american state bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Mills County Bank National Association",NA,"IA","Iowa","N",33982000,212,308247,"mills county bank national association",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"Postville State Bank",NA,"IA","Iowa","NM",65917000,213,284743,"postville state bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Washington State Bank","W.S.b., Inc.","IA","Iowa","SM",301447000,214,433943,"washington state bank",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
